step,sign_agreement,spearman_magnitude,n
1,0.47580641190402334,0.7814436273297116,2640183
2,0.47929497853976594,0.7828889880627339,2558220
3,0.46737275642347664,0.7779410921590539,2618364
4,0.4879323778358019,0.7856341111635844,2631090
5,0.47761706877037324,0.7846759636972085,2415546
6,0.4702676451543277,0.7687113929696635,2335032
7,0.4853242118732065,0.7839022752259164,2769732
8,0.48604885287033917,0.7841611162451302,2703792
9,0.5112445149387748,0.793466913379949,3137841
10,0.47593354828638795,0.7703013322710662,2677794
